id,name,phone,photo_url,preferred_language,location_name,location_lat,location_lng,travel_radius_km,experience_years,verification_status,availability_status,reliability_score,average_rating,completed_jobs,attendance_rate
W001,Suresh,+919395310485,,Telugu,Guntur,16.312277,80.4175,15,9,verified,available,4.6,4.7,31,96.0
W002,Mahesh,+919210053353,,Telugu,Guntur,16.296496,80.422082,15,11,verified,available,4.45,4.6,24,93.0
W003,Raju,+919193349856,,Telugu,Guntur,16.313768,80.452187,15,7,verified,available,4.3,4.5,18,91.0
W004,Kumar,+919200604502,,Telugu,Guntur,16.31032,80.417771,15,4,verified,available,4.1,4.4,15,89.0
W005,Ravi,+919128492780,,Telugu,Guntur,16.295446,80.436714,15,15,verified,available,4.75,4.8,47,97.0
W006,Venkat,+919398704996,,Telugu,Guntur,16.303481,80.434468,15,12,verified,available,4.61,4.49,34,93.8
W007,Srinivas,+919266944844,,Telugu,Guntur,16.314626,80.43011,15,6,verified,available,4.4,4.67,12,94.8
W008,Naresh,+919469319644,,Telugu,Guntur,16.301897,80.430859,15,5,verified,available,4.42,4.25,36,91.0
W009,Prakash,+919506448196,,Telugu,Guntur,16.308149,80.455425,15,11,verified,available,4.68,4.52,37,88.4
W010,Ramesh,+919306468299,,Telugu,Guntur,16.322118,80.430965,15,12,verified,available,3.94,4.06,17,93.3
W011,Ganesh,+919208449460,,Telugu,Guntur,16.326109,80.450713,15,7,verified,available,4.19,4.49,9,91.6
W012,Murali,+919819595113,,Telugu,Guntur,16.293206,80.430711,15,8,verified,available,4.35,4.39,24,92.4
W013,Sekhar,+919596348124,,Telugu,Guntur,16.308066,80.426292,15,5,verified,available,4.1,4.33,12,92.1
W014,Bhaskar,+919438715135,,Telugu,Guntur,16.295862,80.417784,15,3,verified,available,4.23,4.39,17,92.8
W015,Sambaiah,+919217734861,,English,Bapatla,15.904141,80.477331,15,7,verified,busy,3.98,3.79,34,82.8
W016,Chandra,+919465260635,,English,Ponnur,16.076735,80.577444,10,0,verified,available,4.26,4.29,24,86.9
W017,Sunil,+919273461957,,English,Narasaraopet,16.222956,80.044957,30,20,verified,available,4.62,4.54,32,88.9
W018,Nagaraju,+919184564737,,Telugu,Guntur,16.296335,80.439194,15,9,verified,unavailable,4.13,3.89,38,95.7
W019,Krishna,+919865523129,,English,Tenali,16.253211,80.647595,15,13,verified,available,4.4,4.11,42,95.6
W020,Prasad,+919345824373,,Telugu,Chilakaluripet,16.07204,80.172444,15,18,verified,available,3.51,3.77,7,87.0
W021,Veeraiah,+919537077308,,Hindi,Mangalagiri,16.42042,80.566919,30,18,verified,available,4.24,4.4,17,97.3
W022,Satish,+919305718272,,Telugu,Ponnur,16.078724,80.551071,25,1,verified,busy,4.71,4.7,29,89.4
W023,Vijay,+919115846122,,Telugu,Narasaraopet,16.241086,80.051624,10,17,unverified,available,3.88,3.77,29,95.3
W024,Balu,+919588561518,,Hindi,Tenali,16.233608,80.651363,10,12,verified,available,4.15,4.13,26,73.6
W025,Yesu,+919670292350,,English,Narasaraopet,16.234072,80.066775,10,1,verified,available,4.58,4.85,13,92.2
W026,Koteswara,+919805849060,,English,Amaravati,16.55509,80.341779,30,7,verified,available,4.04,4.41,4,96.0
W027,Kiran,+919177892576,,Hindi,Sattenapalle,16.386347,80.160075,20,20,pending,available,3.61,3.71,16,82.7
W028,Anil,+919424825305,,Telugu,Mangalagiri,16.428227,80.569729,20,11,unverified,busy,3.95,3.8,32,95.7
W029,Rajesh,+919694019365,,Telugu,Bapatla,15.889017,80.451381,15,3,verified,available,0.0,0.0,0,97.2
W030,Lakshmana,+919458153605,,Hindi,Mangalagiri,16.443874,80.549763,10,1,verified,available,4.63,4.35,43,96.4
W031,Worker31,+919693269304,,English,Narasaraopet,16.216441,80.044769,15,2,verified,available,4.23,4.51,10,72.3
W032,Worker32,+919274484941,,Telugu,Guntur,16.323731,80.425969,30,13,verified,available,3.71,3.72,22,93.1
